Region ;Year;GDP;PGDP;GDPShare;Population;UrbanPopulation;RuralPolulation;MFRatio ;LifeExpectancyTotal;LifeExpectancyMen;LifeExpectancyWomen;YoungerWorkingAgeShare;WorkingAgeShare;OlderWorkingAgeShare;BirthRate;MortalityRate;DeathWorkingAge;MortalityRateInfant;FertilityRate;Employees;LaborForce;Unemployment;Pension;Pensioners;SharePensioners;NominalSalary;Pincome;PSpending;PovertyRatio;Gini;ConsumerPriceIndex;FixedAssets;Depreciation;Investment;ForeignInvestment;Enterprises ;IndustryIndex;AgricultureIndex;ScientificOrganization;Scientists;DegreeScientists;RDExpenditure;PatentApplications;GrantedPatents;InnovationExpenditure;InnovationProduced;InnovationRatio;InnovationOrganizationRatio;TotalExport;TotalImport;HospitalBeds;HospitalBeds10000;HospitalBedsRatio;ClinicCapacity ;DoctorsTotal;Doctors10000;DoctorsRatio;Nurses Ratio;NursesTotal;Nurses10000;Abort1000Women;Abort100Birth;Diseases;Parasitic;Neoplasms;Blood;EndocrineSystem;NervousSystem;Eyes;Ears;CirculatorySystem;RespiratorySystem ;DigestiveSystem;Skin;Bones;GenitourinarySystem;CongenitalAnomalies ;Injuries;Camps;ChildrenRested;Emissions;PollutedWastewater ;Crimes;Homicides;JuvenileCrime
Астраханская область;2000;28155.7;27815.3;0.5;1009;67.9;32.1;1115;65.3;58.5;72.9;21.1;60;18.9;9.9;14.3;NaN;16.6;NaN;428.4;502;11.5;766.7;238;23.6;1898.7;1779;1506;33.4;0.3;116.6;110982;43.1;12438;420;15998;108.2;108.3;20;1669;199;169544;72;48;8.5;1.9;0;2.7;249.7;53;13.4;133.2;75.1;26.5;6.3;62.7;159.6;79.5;12.7;125.9;50;136;681.4;39.1;8.6;4.7;5.9;16.2;39;24.9;19.7;315.5;21.3;48.7;28.2;37.7;1.4;40.2;288;35.8;111;84;2114;216;857
Астраханская область;2001;32274.3;32037.2;0.5;1006;67.6;32.4;1121;65.2;58.7;72.7;20.4;60.7;18.9;10.5;14.6;NaN;16.3;NaN;426.7;512;10.5;1062.6;236;23.5;2660.9;2333;2052;31.1;0.3;121.6;158920;43.6;15616;1817;16008;104.5;108.4;21;1786;209;244884;110;8;6218;153;0;4.2;449.6;48.2;13.3;132.5;75.5;27.2;6.3;62.6;159.7;82.9;12.1;120.6;49;127;666.9;43.1;8.8;5;6.1;17.8;38.5;25.1;20.6;285.3;22.3;48.3;29;40.1;1.3;42.2;NaN;NaN;107;83;2174;184;890
Астраханская область;2002;40994.9;40786.8;0.5;1005;67.7;32.3;1127;65.2;58.9;72.5;19.7;61.6;18.7;11.6;15.3;NaN;13.7;NaN;429.8;486;11.1;1350.5;236;23.5;3530;3058;2767;26.2;0.3;114.5;177818;44.8;13301;32037;16549;104.3;104;21;1707;199;292658;93;53;1.9;1.8;3;2;234.5;116.1;13.1;130.4;76.7;26.9;6.4;64.1;156.1;81.6;12.3;122.6;46;109;687.2;39.7;8.4;6;7.8;16.8;40.5;26.1;23.5;287.9;25;46.7;32.7;40.3;1.5;44.2;NaN;NaN;117;78;2135;206;806
Астраханская область;2003;50659.8;50508.2;0.5;1001;67.7;32.3;1134;65.4;59.2;72.2;19;62;19;12.1;15.5;NaN;12.6;NaN;438;517;10.1;1616.5;234;23.4;4431.6;3864;3614;22.7;0.4;114.1;215272;52;17986;56117;17181;105.5;102.7;20;1716;212;289952;863;67;19.9;33.9;4.6;6.3;334.7;126.5;12.8;127.2;78.6;27.9;6.6;65.5;152.7;82;12.3;121.9;45;103;693.5;33.9;9.3;5.2;6.5;17.1;39.3;10.5;12.6;237.3;15.5;30.3;15.1;26.7;0.7;70.4;NaN;NaN;118;71;2320;208;951
Астраханская область;2004;56710.9;56725.9;0.4;998.2;67;33;1140;65.3;58.9;72.4;18.4;62.1;19.5;12.3;14.9;NaN;13;NaN;443.1;521;11;1858.1;233;23.3;5495.4;4538;4479;20.1;0.4;111.2;230042;49.1;18563;40255;17886;98.6;123.1;21;1625;217;350552;90;12;156.3;498.4;2;6.1;195.6;85.2;12.5;124.3;80.4;28;6.6;66;151.4;82.3;12.2;121.6;41;92;719.5;35.8;9.9;5.2;7.4;16.5;40.2;10.9;12.4;222.3;18.9;29;16.6;27.2;0.8;67.9;NaN;NaN;123;71;2700;193;1085
Астраханская область;2005;70127.6;69814;0.4;994.2;67;33;1146;65.4;58.4;73;17.9;62.3;19.8;12.1;15.4;804.6;13.1;1.5;445;494;12;2325;233;23.4;6884.2;5683.3;3725;19.3;0.4;114.3;275408;52.6;21642;32325;19100;111.1;90.5;21;1621;227;396.4;124;68;45.2;408.9;1.1;9;247;152.1;11.7;117.2;85.3;29.1;6.6;65.7;152.2;84.6;11.8;118.1;42;95;705.9;29.5;9.5;4.4;7;16.7;34.1;26.3;24.3;275.5;24.6;48.9;31.9;40.8;1.7;85;298;29.3;131;68;2828;218;1182
Астраханская область;2006;85112.1;84950;0.4;994.1;66;34;1145;66.1;59.8;73;17.3;62.7;20;12.4;14.6;NaN;10.7;NaN;449.9;537;7.9;2590.7;233;23.4;8157.9;7089.6;4810;17.3;0.4;111.3;315059;50.1;29383.2;62539;18123;119.5;114.9;21;1444;252;461517;122;95;25.6;99.5;0.2;3.7;299.1;230.5;11.6;116.2;86.1;27.6;6.7;66.6;150.1;85;11.8;117.7;30;67;736.3;35.3;10.4;5.4;10.3;22.5;39;27.1;30.2;274.8;26.9;48.7;36.1;44.2;2.1;82.4;NaN;NaN;117;73;2965;190;1340
Астраханская область;2007;100359.2;99999.4;0.4;1000.9;66.9;33.1;1142;67;60.7;73.8;17.2;62.7;20.1;13.4;14;NaN;9.8;NaN;457.9;522;8.9;3351.1;235;23.5;9866.9;8691.4;6182;16.3;0.4;114.3;367910;49.6;49969.6;41564;28389;123.1;126.6;20;1859;589;330333;170;109;397.7;127.3;0.2;7.1;756.4;253.6;11.4;113.6;88.1;27.3;6.7;66.2;151.1;86.6;11.6;115.5;29;58;726.6;32.6;9.6;5;10.8;20.8;36.5;25.7;26.6;285.7;25.5;49.5;36.5;43.4;2.2;78.1;NaN;NaN;129;72;3159;174;1392
Астраханская область;2008;147549.1;146391;0.4;1005.2;65.7;34.3;1139;68;62;74.1;17.2;62.5;20.3;14.1;13.5;NaN;8.4;NaN;463;535;7.5;4106.5;236;23.5;12339.8;11120.1;8272;16.3;0.4;113;466376;44.8;65226.1;27536;18858;70.8;127.1;14;1047;208;294112;139;106;558.9;320.8;0.3;6.9;1321.3;240.3;10.2;100.8;99.2;27.5;6.7;66.7;150;86;11.7;116.3;28;53;717.6;30.1;8.6;4.7;8.6;19.8;34.9;24.7;28.8;280;26.3;45.2;38.8;46.6;2;85;NaN;NaN;125;73;3125;123;1295
Астраханская область;2009;134418.2;133018.5;0.4;1007.1;65.8;34.2;1137;68.3;62.5;74.2;17.4;62;20.6;14.1;13.3;NaN;8.2;NaN;446.3;529;10;5569.2;238;23.6;14095.7;13023;9037;15.1;0.4;109;529736;46.4;63091;51933;17786;142.7;106;14;942;212;365950;176;150;273.2;416.1;0.6;8.4;457.5;428.2;10.4;103.2;96.9;27.4;6.9;67.9;147.3;85.6;11.8;116.8;27;51;780.7;32.9;9.5;4.5;7.9;22.9;34.5;32.5;27.1;336.6;27.2;47.2;40.3;43.2;2.4;77.6;292;28.4;103;71;2982;102;1112
